#contig	start	end	region_name	length
chr1	826616	121605200	p	120778584
chr1	143562200	248920035	q	105357835
chr2	38684	91969000	p	91930316
chr2	94569500	242095167	q	147525667
chr3	197568	90455400	p	90257832
chr3	93749200	198043792	q	104294592
chr4	85743	49077200	p	48991457
chr4	51816100	190026187	q	138210087
chr5	140132	46433900	p	46293768
chr5	50165300	181156086	q	130990786
chr6	203289	58432200	p	58228911
chr6	60242300	170584571	q	110342271
chr7	192947	58031800	p	57838853
chr7	60997400	159233361	q	98235961
chr8	232614	43937900	p	43705286
chr8	45969600	145055619	q	99086019
chr9	116109	43236168	p	43120059
chr9	61518900	138177407	q	76658507
chr10	48792	39686683	p	39637891
chr10	41712900	133624821	q	91911921
chr11	197143	50813600	p	50616457
chr11	54425074	134986887	q	80561813
chr12	99018	34715400	p	34616382
chr12	37269100	133236222	q	95967122
chr13	16000001	16000001	p	0
chr13	18171400	114327442	q	96156042
chr14	0	0	p	0
chr14	18670900	106875048	q	88204148
chr15	0	0	p	0
chr15	19790100	101849642	q	82059542
chr16	31604	36225200	p	36193596
chr16	46423000	90094934	q	43671934
chr17	156113	22745200	p	22589087
chr17	26987200	83135956	q	56148756
chr18	116985	15367200	p	15250215
chr18	20940300	80247425	q	59307125
chr19	281312	24330100	p	24048788
chr19	27274500	58517832	q	31243332
chr20	87519	26364200	p	26276681
chr20	30038348	64276350	q	34238002
chr21	9068241	10650900	p	1582659
chr21	12965800	46665188	q	33699388
chr22	11477067	11976900	p	499833
chr22	15154400	50782518	q	35628118
