Sample	Chromosome	Start	End	Num_Probes	Segment_Mean	Segment_Length	arm
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr1	826616	20618730	3634	-0.652904740569669	19792114	p
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr1	20635928	25266362	961	-0.736204740569669	4630434	p
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr1	25335448	43408146	3312	-0.781559740569669	18072698	p
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr1	43422310	92844841	4531	-0.817317740569669	49422531	p
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr1	92845971	110045000	1329	-0.805079740569669	17199029	p
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr4	51816100	112617822	4272	-0.827894740569669	60801722	q
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr4	113197730	190026187	3751	-0.806165740569669	76828457	q
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr10	48792	39686683	10039	-0.692555740569669	39637891	p
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr10	41712900	118310698	10039	-0.692555740569669	76597798	q
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr10	118316840	133624821	1525	-0.640703740569669	15307981	q
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr16	46423000	90094934	4992	-0.738817740569669	43671934	q
MMRF_1030_4_BM_CD138pos_T6_KHS5U	chr17	156113	22745200	4368	-0.786216740569669	22589087	p
